Symbol,MarketCap,Sector,CompanyName
WAT,22418997248,Healthcare,Waters Corporation
STZ,22365839360,Consumer Defensive,"Constellation Brands, Inc."
STLD,22260092928,Basic Materials,"Steel Dynamics, Inc."
DG,22098644992,Consumer Defensive,Dollar General Corporation
EIX,22063691776,Utilities,Edison International
RF,21956986880,Financial Services,Regions Financial Corporation
TPR,21709246464,Consumer Cyclical,"Tapestry, Inc."
DLTR,21679740928,Consumer Defensive,"Dollar Tree, Inc."
LH,21647677440,Healthcare,Labcorp Holdings Inc.
PPG,21526691840,Basic Materials,"PPG Industries, Inc."
DXCM,21388490752,Healthcare,"DexCom, Inc."
L,21290067968,Financial Services,Loews Corporation
DVN,21278013440,Energy,Devon Energy Corporation
PTC,21262008320,Technology,PTC Inc.
SBAC,21250793472,Real Estate,SBA Communications Corporation
INCY,20806281216,Healthcare,Incyte Corporation
NI,20689727488,Utilities,NiSource Inc
DGX,20503078912,Healthcare,Quest Diagnostics Incorporated
CHD,20324608000,Consumer Defensive,"Church & Dwight Company, Inc."
RL,20297033728,Consumer Cyclical,Ralph Lauren Corporation
LULU,20201664512,Consumer Cyclical,lululemon athletica inc.
DRI,20190904320,Consumer Cyclical,"Darden Restaurants, Inc."
CTRA,20092751872,Energy,Coterra Energy Inc.
NVR,20049557504,Consumer Cyclical,"NVR, Inc."
IP,20028493824,Consumer Cyclical,International Paper Company
TYL,19985518592,Technology,"Tyler Technologies, Inc."
ON,19851597824,Technology,ON Semiconductor Corporation
CPAY,19848290304,Technology,"Corpay, Inc."
WST,19818250240,Healthcare,"West Pharmaceutical Services, I"
KEY,19803703296,Financial Services,KeyCorp
AMCR,19459475456,Consumer Cyclical,Amcor plc
TSN,19029614592,Consumer Defensive,"Tyson Foods, Inc."
TRMB,18962298880,Technology,Trimble Inc.
EXPD,18821900288,Industrials,Expeditors International of Was
CDW,18658054144,Technology,CDW Corporation
SW,18537615360,Consumer Cyclical,Smurfit WestRock plc
J,18442086400,Industrials,Jacobs Solutions Inc.
BG,18382833664,Consumer Defensive,Bunge Limited
PFG,18362011648,Financial Services,Principal Financial Group Inc
PKG,18060195840,Consumer Cyclical,Packaging Corporation of Americ
ESS,17968162816,Real Estate,"Essex Property Trust, Inc."
CHRW,17923772416,Industrials,"C.H. Robinson Worldwide, Inc."
GPN,17919131648,Industrials,Global Payments Inc.
SNA,17847953408,Industrials,Snap-On Incorporated
APTV,17839515648,Consumer Cyclical,Aptiv PLC
PNR,17786236928,Industrials,Pentair plc.
GDDY,17764362240,Technology,GoDaddy Inc.
EVRG,17627496448,Utilities,"Evergy, Inc."
ZBH,17584650240,Healthcare,"Zimmer Biomet Holdings, Inc."
GPC,17411069952,Consumer Cyclical,Genuine Parts Company
MKC,17260113920,Consumer Defensive,"McCormick & Company, Incorporat"
LNT,17212315648,Utilities,Alliant Energy Corporation
INVH,17189097472,Real Estate,Invitation Homes Inc.
LII,17165322240,Industrials,"Lennox International, Inc."
LUV,16890285056,Industrials,Southwest Airlines Company
DD,16859568128,Basic Materials,"DuPont de Nemours, Inc."
CNC,16834492416,Healthcare,Centene Corporation
HOLX,16536692736,Healthcare,"Hologic, Inc."
IT,16479718400,Technology,"Gartner, Inc."
BBY,16419414016,Consumer Cyclical,"Best Buy Co., Inc."
WY,16349127680,Real Estate,Weyerhaeuser Company
FTV,16303006720,Technology,Fortive Corporation
GEN,16250469376,Technology,Gen Digital Inc.
IFF,16077730816,Basic Materials,International Flavors & Fragran
JBHT,16042386432,Industrials,"J.B. Hunt Transport Services, I"
DOW,15707959296,Basic Materials,Dow Inc.
NWS,15655472128,Communication Services,News Corporation
NWSA,15650308096,Communication Services,News Corporation
MAA,15549056000,Real Estate,Mid-America Apartment Communiti
ERIE,14517236736,Financial Services,Erie Indemnity Company
TXT,14460946432,Industrials,Textron Inc.
ALLE,14357012480,Industrials,Allegion plc
TKO,14140519424,Communication Services,"TKO Group Holdings, Inc."
COO,14059767808,Healthcare,"The Cooper Companies, Inc."
OMC,14037624832,Communication Services,Omnicom Group Inc.
UHS,13911101440,Healthcare,"Universal Health Services, Inc."
FFIV,13888576512,Technology,"F5, Inc."
EG,13794408448,Financial Services,"Everest Group, Ltd."
DPZ,13770924032,Consumer Cyclical,Domino's Pizza Inc
KIM,13767355392,Real Estate,Kimco Realty Corporation (HC)
LYB,13766506496,Basic Materials,LyondellBasell Industries NV
AVY,13417706496,Consumer Cyclical,Avery Dennison Corporation
WYNN,13400231936,Consumer Cyclical,"Wynn Resorts, Limited"
ZBRA,13203578880,Technology,Zebra Technologies Corporation
NDSN,13190858752,Industrials,Nordson Corporation
REG,13088547840,Real Estate,Regency Centers Corporation
UDR,13015226368,Real Estate,"UDR, Inc."
CF,12922499072,Basic Materials,"CF Industries Holdings, Inc."
BF-B,12880082944,Consumer Defensive,Brown Forman Inc
CLX,12770125824,Consumer Defensive,Clorox Company (The)
MAS,12767049728,Industrials,Masco Corporation
BXP,12667561984,Real Estate,"BXP, Inc."
HST,12663759872,Real Estate,"Host Hotels & Resorts, Inc."
IEX,12634586112,Industrials,IDEX Corporation
AKAM,12533539840,Technology,"Akamai Technologies, Inc."
HII,12504675328,Industrials,"Huntington Ingalls Industries, "
SOLV,12451800064,Healthcare,Solventum Corporation
BALL,12437286912,Consumer Cyclical,Ball Corporation
DOC,12300612608,Real Estate,"Healthpeak Properties, Inc."
ALB,12191111168,Basic Materials,Albemarle Corporation
HRL,12182465536,Consumer Defensive,Hormel Foods Corporation
BLDR,11838756864,Industrials,"Builders FirstSource, Inc."
JKHY,11769245696,Technology,"Jack Henry & Associates, Inc."
BEN,11732920320,Financial Services,"Franklin Resources, Inc."
VTRS,11713499136,Healthcare,Viatris Inc.
DECK,11636267008,Consumer Cyclical,Deckers Outdoor Corporation
SJM,11437715456,Consumer Defensive,The J.M. Smucker Company
AIZ,11323840512,Financial Services,"Assurant, Inc."
DAY,10978398208,Technology,"Dayforce, Inc."
HAS,10967339008,Consumer Cyclical,"Hasbro, Inc."
CPT,10894881792,Real Estate,Camden Property Trust
GL,10569262080,Financial Services,Globe Life Inc.
SWK,10522884096,Industrials,"Stanley Black & Decker, Inc."
IVZ,10521996288,Financial Services,Invesco Ltd
PNW,10498044928,Utilities,Pinnacle West Capital Corporati
RVTY,10462302208,Healthcare,"Revvity, Inc."
SWKS,10273771520,Technology,"Skyworks Solutions, Inc."
AES,10119238656,Utilities,The AES Corporation
EPAM,10076253184,Technology,"EPAM Systems, Inc."
FDS,9919650816,Financial Services,FactSet Research Systems Inc.
ALGN,9918001152,Healthcare,"Align Technology, Inc."
MRNA,9670779904,Healthcare,"Moderna, Inc."
ARE,9377486848,Real Estate,Alexandria Real Estate Equities
POOL,9269906432,Industrials,Pool Corporation
TAP,9252452352,Consumer Defensive,Molson Coors Beverage Company
AOS,9213366272,Industrials,A.O. Smith Corporation
GNRC,9192271872,Industrials,Generac Holdlings Inc.
PAYC,9158340608,Technology,"Paycom Software, Inc."
IPG,9149334528,Communication Services,"Interpublic Group of Companies,"
BAX,9124490240,Healthcare,Baxter International Inc.
CPB,9121620992,Consumer Defensive,The Campbell's Company
MGM,8984685568,Consumer Cyclical,MGM Resorts International
TECH,8952997888,Healthcare,Bio-Techne Corp
NCLH,8668103680,Consumer Cyclical,Norwegian Cruise Line Holdings 
APA,8636195840,Energy,APA Corporation
HSIC,8593910784,Healthcare,"Henry Schein, Inc."
DVA,8484001792,Healthcare,DaVita Inc.
LW,8411315712,Consumer Defensive,"Lamb Weston Holdings, Inc."
FRT,8400430592,Real Estate,Federal Realty Investment Trust
CRL,8315938304,Healthcare,Charles River Laboratories Inte
MOS,8217689600,Basic Materials,Mosaic Company (The)
CAG,8122411008,Consumer Defensive,"ConAgra Brands, Inc."
LKQ,7924707328,Consumer Cyclical,LKQ Corporation
MTCH,7863498240,Communication Services,"Match Group, Inc."
MOH,7242259456,Healthcare,Molina Healthcare Inc
EMN,7018714624,Basic Materials,Eastman Chemical Company
MHK,6681652736,Consumer Cyclical,"Mohawk Industries, Inc."
AMTM,5550326272,Industrials,"Amentum Holdings, Inc."
KMX,4882597376,Consumer Cyclical,CarMax Inc
